frame,cm_to_lane
929,189.36659945159093
930,188.6580188631915
931,187.71650350493138
932,NaN
933,NaN
934,NaN
935,NaN
936,NaN
937,NaN
938,NaN
939,NaN
940,187.24713435165128
941,187.4817088080365
942,187.71650350493138
943,187.24713435165128
944,NaN
945,NaN
946,NaN
947,NaN
948,NaN
949,NaN
950,NaN
951,NaN
952,185.61159510578287
953,185.3788636362947
954,185.61159510578287
955,185.14635200544214
956,185.3788636362947
957,NaN
958,NaN
959,NaN
960,NaN
961,NaN
962,NaN
963,NaN
964,NaN
965,184.38837975813095
966,184.15683114297178
967,183.92550593687463
968,186.01560631067375
969,NaN
970,NaN
971,NaN
972,NaN
973,NaN
974,NaN
975,NaN
976,NaN
977,181.18704733437684
978,180.7304108858316
979,180.50242729649904
980,180.50242729649904
981,NaN
982,NaN
983,NaN
984,NaN
985,NaN
986,NaN
987,NaN
988,177.7837221927729
989,177.108957032657
990,176.64059275090443
991,176.19273325355414
992,NaN
993,NaN
994,NaN
995,NaN
996,NaN
997,NaN
998,NaN
999,NaN
1000,NaN
1001,172.86096082785122
1002,172.40156248487386
1003,171.52286297249054
1004,172.62174376075475
1005,NaN
1006,NaN
